epoch,Coarse_prediction_output_layer_accuracy,Coarse_prediction_output_layer_loss,Final_output_loss,Fine_prediction_output_layer_accuracy,Fine_prediction_output_layer_loss,Medium_prediction_output_layer_accuracy,Medium_prediction_output_layer_loss,loss,val_Coarse_prediction_output_layer_accuracy,val_Coarse_prediction_output_layer_loss,val_Final_output_loss,val_Fine_prediction_output_layer_accuracy,val_Fine_prediction_output_layer_loss,val_Medium_prediction_output_layer_accuracy,val_Medium_prediction_output_layer_loss,val_loss
0,0.7929937839508057,0.15441176295280457,0.809905469417572,0.4724711775779724,0.3805747926235199,0.5356113910675049,0.3563489615917206,0.27215126156806946,0.8755000233650208,0.10426336526870728,0.9383867383003235,0.5935999751091003,0.28554806113243103,0.6255000233650208,0.26952821016311646,0.19985727965831757
1,0.8530329465866089,0.11318118870258331,0.7496423721313477,0.6542093753814697,0.2799229621887207,0.6378641128540039,0.2696806788444519,0.2336580455303192,0.8878999948501587,0.0861322358250618,0.8638900518417358,0.739300012588501,0.1930209994316101,0.6802999973297119,0.20487527549266815,0.17096133530139923
2,0.8637763857841492,0.10741083323955536,0.6941674947738647,0.7379361391067505,0.23040549457073212,0.68211829662323,0.23446960747241974,0.20156125724315643,0.8914999961853027,0.07938622683286667,0.8428075909614563,0.7838000059127808,0.16044172644615173,0.7386000156402588,0.18100935220718384,0.1494254767894745
3,0.8702384829521179,0.10538499057292938,0.6755092740058899,0.7804097533226013,0.2051367163658142,0.7073063254356384,0.2143634408712387,0.18231704831123352,0.8799999952316284,0.09992775321006775,0.8334966897964478,0.8007000088691711,0.14883239567279816,0.7264999747276306,0.1647796928882599,0.14300261437892914
4,0.8797815442085266,0.09886738657951355,0.6473981142044067,0.8096991181373596,0.18694938719272614,0.732994556427002,0.1928470879793167,0.1646309196949005,0.8899000287055969,0.07927192747592926,0.7988515496253967,0.8366000056266785,0.1238337978720665,0.7670999765396118,0.13481281697750092,0.11641138792037964
5,0.8837428092956543,0.096261166036129,0.6246172785758972,0.8288052082061768,0.17541749775409698,0.746618926525116,0.18048466742038727,0.1547435075044632,0.90829998254776,0.07444627583026886,0.784561038017273,0.8443999886512756,0.11688955128192902,0.7756999731063843,0.1208527460694313,0.10659096390008926
6,0.8874840140342712,0.09485173225402832,0.6200140118598938,0.8481714129447937,0.16386456787586212,0.765164852142334,0.17014503479003906,0.14621442556381226,0.904699981212616,0.07060473412275314,0.8020958304405212,0.8568000197410583,0.10971849411725998,0.7991999983787537,0.11481369286775589,0.10064370185136795
7,0.8924655914306641,0.0919521301984787,0.6153655648231506,0.8612756133079529,0.15547770261764526,0.7777288556098938,0.16189533472061157,0.13875362277030945,0.9140999913215637,0.06681133061647415,0.7761796712875366,0.8578000068664551,0.10583042353391647,0.8077999949455261,0.11508791148662567,0.09820748120546341
8,0.8982674479484558,0.09001429378986359,0.6078096032142639,0.8729593753814697,0.14907006919384003,0.7910531163215637,0.1568847894668579,0.13414040207862854,0.910099983215332,0.06658630073070526,0.7548860311508179,0.8586000204086304,0.10862953960895538,0.8234999775886536,0.10207953304052353,0.0925382599234581
9,0.9009482860565186,0.0892343744635582,0.6038669943809509,0.8805217742919922,0.14296068251132965,0.7994158267974854,0.15177807211875916,0.13003672659397125,0.9186000227928162,0.06003664433956146,0.7454164028167725,0.8636999726295471,0.10364679247140884,0.8026999831199646,0.10430271923542023,0.0902617946267128
10,0.8995678424835205,0.08856204152107239,0.5834395885467529,0.8851032257080078,0.1401234269142151,0.7984355092048645,0.1488393098115921,0.1276063323020935,0.9117000102996826,0.06652025133371353,0.7469855546951294,0.8740000128746033,0.09341216087341309,0.8112000226974487,0.09094934165477753,0.08383125066757202
11,0.9042093753814697,0.08681157231330872,0.5789583325386047,0.8986275792121887,0.13268597424030304,0.8110395073890686,0.14054082334041595,0.12141826748847961,0.9158999919891357,0.062134839594364166,0.7639319896697998,0.8737000226974487,0.0959940180182457,0.8278999924659729,0.08988381177186966,0.08226796984672546
12,0.91009122133255,0.08352053165435791,0.5759566426277161,0.9049496054649353,0.12729789316654205,0.8212227821350098,0.13534437119960785,0.11649618297815323,0.9240000247955322,0.05835648626089096,0.719936728477478,0.8810999989509583,0.09014473855495453,0.8296999931335449,0.09106021374464035,0.08013076335191727
13,0.9112915992736816,0.08316931128501892,0.5681224465370178,0.9123719334602356,0.12248003482818604,0.8288652300834656,0.13223616778850555,0.11406227946281433,0.9228000044822693,0.05973853915929794,0.7369837164878845,0.8792999982833862,0.09128759801387787,0.8429999947547913,0.09126558154821396,0.08095870167016983
14,0.9109715223312378,0.08298934996128082,0.5669663548469543,0.9200143814086914,0.11822710186243057,0.834627091884613,0.1280193030834198,0.1108626276254654,0.923799991607666,0.058674830943346024,0.7472595572471619,0.881600022315979,0.09048277884721756,0.8277999758720398,0.08595440536737442,0.07765381783246994
15,0.9121118783950806,0.08255333453416824,0.5624635219573975,0.9210747480392456,0.11732432246208191,0.8349272012710571,0.1261366903781891,0.10922031104564667,0.925599992275238,0.0563502311706543,0.7075616717338562,0.8816999793052673,0.09077152609825134,0.8442000150680542,0.0932793989777565,0.07991408556699753
16,0.9152929186820984,0.08044151961803436,0.556820273399353,0.9253961443901062,0.11284415423870087,0.8422495126724243,0.12115392833948135,0.10543561726808548,0.9271000027656555,0.05629768222570419,0.7074443101882935,0.8938999772071838,0.08176320791244507,0.8465999960899353,0.08070831000804901,0.07249070703983307
17,0.918753981590271,0.07939622551202774,0.5510496497154236,0.929717481136322,0.11083614081144333,0.8474912047386169,0.11902590841054916,0.10362556576728821,0.9271000027656555,0.05429289489984512,0.7029039859771729,0.8845999836921692,0.08545374870300293,0.8374000191688538,0.08267785608768463,0.07325094193220139
18,0.9196543097496033,0.07878220081329346,0.5485635995864868,0.934118926525116,0.10872376710176468,0.8520126342773438,0.11659522354602814,0.10193616151809692,0.925000011920929,0.06101711466908455,0.7625827789306641,0.8899000287055969,0.08242044597864151,0.8561999797821045,0.08040046691894531,0.07411237806081772
19,0.9192741513252258,0.07851668447256088,0.546869695186615,0.9340789318084717,0.10744667053222656,0.8520326614379883,0.11587731540203094,0.10109782963991165,0.9282000064849854,0.0549248531460762,0.7093490958213806,0.8948000073432922,0.07973376661539078,0.8605999946594238,0.08317844569683075,0.07261686772108078
20,0.9188740253448486,0.07785210013389587,0.5392859578132629,0.9400808215141296,0.10408434271812439,0.8569341897964478,0.11120852828025818,0.09806384891271591,0.9308000206947327,0.051790107041597366,0.6931866407394409,0.8934000134468079,0.08125431090593338,0.8578000068664551,0.08163105696439743,0.07093648612499237
21,0.9208146333694458,0.07672915607690811,0.5388404726982117,0.9396407008171082,0.10318678617477417,0.8585147261619568,0.11192294210195541,0.09749578684568405,0.9376999735832214,0.04947309568524361,0.6960729360580444,0.8966000080108643,0.07782473415136337,0.8569999933242798,0.07606292515993118,0.06655142456293106
22,0.9236955642700195,0.07531164586544037,0.5360768437385559,0.94288170337677,0.1011592298746109,0.8609955310821533,0.10903223603963852,0.09540629386901855,0.9296000003814697,0.05191799998283386,0.6834924221038818,0.8946999907493591,0.07906844466924667,0.8608999848365784,0.07482040673494339,0.06717757880687714
23,0.9224551916122437,0.0751720443367958,0.5342000126838684,0.9430418014526367,0.10110104084014893,0.8651768565177917,0.10826493799686432,0.09508814662694931,0.9142000079154968,0.06297309696674347,0.6950239539146423,0.8967000246047974,0.0785522535443306,0.8579999804496765,0.07866145670413971,0.07310739904642105
24,0.9242957830429077,0.07471337914466858,0.5300843715667725,0.9446423053741455,0.09960519522428513,0.8687179684638977,0.10694072395563126,0.09375007450580597,0.9387000203132629,0.04876624420285225,0.6910218000411987,0.8963000178337097,0.0773455798625946,0.857200026512146,0.07635898888111115,0.06627106666564941
25,0.92571622133255,0.07391071319580078,0.5288006067276001,0.9458626508712769,0.09838560223579407,0.867217481136322,0.1055230051279068,0.09257682412862778,0.9340999722480774,0.051185693591833115,0.6959028840065002,0.9045000076293945,0.07338453084230423,0.8547999858856201,0.07676195353269577,0.06678122282028198
26,0.9275367856025696,0.07347624003887177,0.5235908031463623,0.9481834173202515,0.09741213172674179,0.8689180612564087,0.10448300838470459,0.09195731580257416,0.9354000091552734,0.04965684935450554,0.6759600639343262,0.8999000191688538,0.07570376992225647,0.8593999743461609,0.07565800845623016,0.06614906340837479
27,0.9282570481300354,0.07244431227445602,0.5236604809761047,0.9477032423019409,0.0966854840517044,0.8708986639976501,0.1026635617017746,0.09064788371324539,0.9366999864578247,0.05126092955470085,0.7223788499832153,0.904699981212616,0.07462798804044724,0.8712999820709229,0.07523859292268753,0.06645013391971588
